"slot_id","source_language","difficulty_target","category","subtype","pinned_topic","acceptable_source_types","requirements","balancing_note","jp_reference_char_count_raw"
"zh_01","Chinese","easy","consumer_help","account/profile help","","help-center article; platform FAQ; customer support page","Explain profiles, recommendations, watchlists, access, or account/profile limits in clear product language.","","468"
"zh_02","Chinese","easy","consumer_help","desktop app install/update","","help-center article; download/install guide; official support doc","Include supported OS/platform info and step-by-step install or update instructions.","","447"
"zh_03","Chinese","easy","business_advice","sales script","","sales-training article; outbound call script; CRM blog post","Appointment-setting or first-contact script with practical business register.","","417"
"zh_04","Chinese","easy","business_advice","objection handling","","sales-training article; lead-gen advice post; script template","Show how to preempt or handle objections while trying to keep the conversation moving.","","696"
"zh_05","Chinese","easy","business_advice","practical advice/explainer","","business blog post; training article; how-to article","Use modern standard written Chinese and clear structure; can be a script or plain advisory prose.","","723"
"zh_06","Chinese","easy","entertainment_summary","film/drama synopsis","","movie page; streaming listing; entertainment guide","Cast/staff plus short plot setup in standard guide-style prose.","","395"
"zh_07","Chinese","easy","entertainment_summary","franchise summary","","movie/game/anime summary page; franchise feature; promotional listing","A straightforward summary with proper nouns and plot framing is enough.","","437"
"zh_08","Chinese","easy","writing_advice","practical craft advice","","writing-tips article; creator blog; craft newsletter","Should explain how to write dialogue or scenes naturally with examples.","","336"
"zh_09","Chinese","easy","writing_advice","conceptual craft advice","","writing-tips article; linguistics-for-writers post; craft explainer","A slightly more conceptual article is fine as long as it remains beginner-friendly.","","658"
"zh_10","Chinese","easy","language_learning","self-introduction samples","","language-learning textbook snippet; classroom handout; learner blog","Multiple short introductions with hometown, interests, or polite self-intro language.","","344"
"zh_11","Chinese","easy","simple_profile_or_narrative","profile/blog-style prose","","personal profile; short autobiographical blog post; light narrative intro","Keep it readable and modern, with little ambiguity or idiomatic density.","","471"
"zh_12","Chinese","easy","flex_easy","general easy reserve","","simple explainer; profile; lifestyle article; light narrative","Use this as the adjustment slot if needed.","Promote this slot to hard if the Dragon Raja slot is sourced as easy, so the final Chinese side stays at 12 easy / 21 hard.","710"
"zh_13","Chinese","hard","news","political_or_economic_news","","hard-news article; policy report; trade/diplomacy coverage","Should include policy terminology, institutional actors, and dense factual reporting.","","504"
"zh_14","Chinese","hard","news","general hard news or feature","","news feature; consumer-news article; cultural news report","Named entities, quotations, and newsroom-style framing preferred.","","394"
"zh_15","Chinese","hard","games_news","news release coverage","新月同行","games-news article; update announcement coverage; event/news release coverage; detailed official announcement","Must describe a news release, launch/update, event, or announcement related to 新月同行 and include release-style specifics.","Pinned hard slot.","1302"
"zh_16","Chinese","hard","news","weather_or_local_history_news","","weather-service article; local-history report; museum/news feature","Forecast prose, infrastructure impacts, or institution/history language preferred.","","1364"
"zh_17","Chinese","hard","modern_fiction","urban or workplace fiction opening","","webnovel excerpt; magazine fiction; serialized fiction","Voice-heavy narrative with character interiority and social context.","","1537"
"zh_18","Chinese","hard","modern_fiction","youth or coming-of-age fiction","","webnovel excerpt; YA fiction excerpt; serialized fiction","Emotionally charged narrative with colloquial but controlled prose.","","4830"
"zh_19","Chinese","hard","modern_fiction","fantasy/system/game-like fiction","","webnovel excerpt; fantasy serial; dungeon/system fiction","Should include specialized fantasy or game-like terms and tonal shifts between exposition and action.","","2316"
"zh_20","Chinese","hard","modern_fiction","horror or creepy spoken narrative","","forum horror post; horror fiction excerpt; creepypasta-style story","Prefer voice-led narration where pacing and tone matter as much as literal content.","","3508"
"zh_21","Chinese","hard","modern_fiction","additional hard narrative reserve","","webnovel excerpt; literary genre fiction; serialized narrative","Use for any additional hard narrative slot that is clearly harder than the easy narrative/profile material.","","841"
"zh_22","Chinese","flex","literary_or_cultural_reference","Dragon Raja reference","Dragon Raja / 龙族","direct prose excerpt; literary essay; substantial review; retrospective feature","At least one literary reference should be about Dragon Raja. Prefer a real excerpt or substantial essay/review over a short blurb or wiki-like summary.","Flexible slot: may be easy or hard. If sourced as easy, promote zh_12 to hard to preserve the 12 easy / 21 hard target.","1571"
"zh_23","Chinese","hard","literary_prose","high-style or older-form prose","","literary excerpt; older prose; classic or stylistically elevated writing","Must be genuinely hard because of diction, syntax, or literary density.","Pinned hard literary slot.","2275"
"zh_24","Chinese","hard","literary_prose","high-style or older-form prose","","literary excerpt; older prose; classic or stylistically elevated writing","Must be genuinely hard because of diction, syntax, or literary density.","Pinned hard literary slot.","4310"
"zh_25","Chinese","hard","essay_memoir","creator diary or memoir","","personal essay; memoir excerpt; creator diary; reflective blog essay","Should carry strong authorial voice and not read like neutral reporting.","","882"
"zh_26","Chinese","hard","interview_or_profile","culture/music/interview prose","","artist interview; long profile; magazine feature","Prefer modern media language, quotes, and profile/interview framing.","","2861"
"zh_27","Chinese","hard","procedural","recipe or kitchen instructions","","recipe article; cooking feature; culinary how-to","Use measured ingredients, ordered steps, and texture/process commentary.","","571"
"zh_28","Chinese","hard","procedural","instructional or technical how-to","","recipe article; technical how-to; hobbyist guide; device tutorial","Should be denser than the easy help docs and rely on procedural precision.","","598"
"zh_29","Chinese","hard","culture_feature","consumer or brand feature","","consumer-news feature; culture article; lifestyle reporting","Prefer quoted reactions, brand names, and a blend of factual and promotional language.","","593"
"zh_30","Chinese","hard","regional_feature","travel/listicle/poll-style feature","","regional feature; listicle; travel article; survey-style article","Local promotional prose, place names, and listicle structure are all acceptable.","","1052"
"zh_31","Chinese","hard","folk_horror_or_oral_narrative","rural or dialect-colored story","","oral-history-style horror; village legend feature; fiction in spoken register","Can use light dialect coloring, but keep it understandable enough to judge consistently.","","2224"
"zh_32","Chinese","hard","flex_hard","hard reserve A","","hard news; feature; fiction; essay; interview","Use to backfill whichever hard bucket is hardest to source while keeping register diversity.","","632"
"zh_33","Chinese","hard","flex_hard","hard reserve B","","hard news; feature; fiction; essay; interview","Use to backfill whichever hard bucket is hardest to source while keeping register diversity.","","877"
