llm,score,wins,total_matches,EN,LT
gemini/gemini-1.5-pro,3.1117348098,1680,1858,2.3407204122,9.5737420755
openai/o3-mini,2.5574728893,1573,1854,1.344734815,9.2807394867
Nexusflow/Athene-V2-Chat,2.0990197949,1470,1853,0.8502232946,8.9080787155
anthropic/claude-3-5-sonnet-20241022,2.095767852,1446,1828,0.8474629078,8.9049115541
gemini/gemini-2.0-flash,2.0749802946,1454,1841,0.8300280657,8.8844750686
gemini/gemini-2.0-flash-thinking-exp,1.8764896046,1408,1850,0.6805959587,8.6720739462
Llama-3.1-Tulu-3-405B-FP8-Dynamic,1.7101006488,1367,1848,0.5762720559,8.4684933839
google/gemma-3-27b-it,1.6407845003,1328,1841,0.5297634867,8.3764165624
ablation-181-finaldpo2-shisa-v2-llama-3.3-70b,1.6381182566,1345,1860,0.5350477638,8.3727872562
ablation-152-finalsft-shisa-v2-mistral-nemo-japanese-12b,1.3492969377,1263,1852,0.4017283675,7.9401466235
openai/gpt-4o,1.1723413244,1207,1847,0.3365748442,7.6356796034
ablation-156-a152.dpofinal-shisa-v2-mistral-nemo-japanese-12b/,1.111494886,1178,1825,0.3167060655,7.5240769935
google/gemma-3-12b-it,1.0455851497,1154,1831,0.2934848817,7.39926226
ablation-180-finalsft2-shisa-v2-llama-3.3-70b,0.9357019985,1131,1848,0.2630428366,7.1823066416
ablation-198-a194.finaldpo2.2e7-shisa-v2-qwen2.5-32b,0.9115652396,1131,1853,0.2558419648,7.1332035237
ablation-197-a194.finaldpo2.4e7-shisa-v2-qwen2.5-32b,0.8799316389,1109,1838,0.2493057937,7.068080548
ablation-167-finaldpo.3e7-shisa-v2-unphi-4-14b,0.8616997784,1088,1818,0.2490920898,7.0301566438
ablation-186-finaldpo2-shisa-v2-unphi-4-14b,0.747168674,1063,1824,0.2215758169,6.7856145468
ablation-194-finalsft2-shisa-v2-qwen2.5-32b,0.7415539925,1063,1835,0.2154219475,6.773355781
ablation-155-a151.dpofinal-shisa-v2-mistral-nemo-12b/,0.7221421706,1067,1841,0.2145668597,6.730785631
ablation-151-finalsft-shisa-v2-mistral-nemo-12b,0.693500363,1065,1851,0.2085084531,6.6674514704
tokyotech-llm/Llama-3.3-Swallow-70B-Instruct-v0.4,0.6753014415,1061,1853,0.2037633078,6.6268922236
Qwen/Qwen2.5-72B-Instruct,0.5717254784,1016,1839,0.1812516683,6.3916122488
ablation-183-a177.finaldpo2.4.5e7-shisa-v2-mistral-nemo-12b,0.5703157901,1018,1838,0.1834537285,6.3883603888
ablation-185-a178.finaldpo2.4.5e7-shisa-v2-mistral-nemo-japanese-12b,0.5250937027,1005,1837,0.1761917556,6.2833807089
cyberagent/Llama-3.1-70B-Japanese-Instruct-2407,0.5118910755,1002,1841,0.1720298916,6.2524968197
meta-llama/Llama-3.1-405B-Instruct,0.5055561723,995,1833,0.1731164242,6.2376416115
