"name","source_language","task_direction","difficulty","category","description"
"amazon_1","Japanese","JA->EN","easy","consumer_help","Amazon help-center copy explaining what Prime Video profiles are, how recommendations and watchlists are personalized, and how many profiles one account can have. It is straightforward support prose with repeated product terminology."
"amazon_2","Japanese","JA->EN","easy","consumer_help","A Kindle support article about installing or updating Kindle for PC or Mac, including supported operating systems and download steps. This is practical UI-and-instructions text with platform names and menu wording."
"batman1","English","EN->JA","hard","novel_excerpt","A dark thriller passage about a young female killer cleaning up a murder scene and trying to escape a mansion before police surround it. The prose is long, atmospheric, and full of motion, body language, and suspense."
"baudrillard1","English","EN->JA","hard","philosophy","An academic-philosophical excerpt on simulacra, truth, maps, and representation. It is abstract theory prose with layered metaphors and dense argumentative structure."
"burger_king_1","Japanese","JA->EN","hard","product_news","A Japanese product news article announcing Burger King's 'Great King Yeti The One Pounder,' with price, calories, ingredients, and related menu items. It mixes brand naming, promotional tone, and factual product details."
"business_1","Japanese","JA->EN","easy","sales_training","A sample outbound sales script for winning an appointment by opening with easy-to-answer questions and moving into benefits. It reads like practical call-center or SDR training material."
"business_2","Japanese","JA->EN","easy","sales_training","A second appointment-setting script focused on preempting objections and using social proof for a staffing service. The text is formulaic business talk with polite corporate phrasing."
"business_3","Japanese","JA->EN","easy","sales_training","A third sales-call example showing how to recover after an initial rejection and turn the conversation toward the customer's situation. It is structured as a branching script with polite persuasion language."
"catwoman1","English","EN->JA","hard","novel_excerpt","A superhero-fiction action scene centered on Selina Kyle waiting in a grimy fight venue and reading the crowd before combat. The passage relies on rhythm, attitude, and tightly controlled physical description."
"dialogue1","English","EN->JA","hard","game_script","A boss-fight dialogue scene from an action game with named speakers, stage directions, and philosophical taunting. It is highly oral text with slang, timing cues, and character voice doing most of the work."
"dogura_magura_1","Japanese","JA->EN","hard","classic_literature","A classic Japanese literary-horror opening in which the narrator wakes to a strange buzzing sound and slowly becomes aware of an unsettling room. Archaic diction and old-style descriptive prose make it difficult."
"dune1","English","EN->JA","hard","science_fiction","The famous opening of 'Dune,' introducing Muad'Dib and the political-religious frame around his life. It combines elevated narration, invented terms, and heavy world-building."
"essay_1","Japanese","JA->EN","hard","personal_essay","A writer's autobiographical profile describing career history, training, and work as a screenwriter and novelist. It mixes resume-like facts with reflective personal commentary."
"essay_2","Japanese","JA->EN","hard","personal_essay","A diary-style essay about year-end and New Year deadlines, rewrites, and the inability of writers to really take a holiday. The tone is conversational but full of work-specific nuance."
"fiction_1","Japanese","JA->EN","easy","light_novel","A contemporary first-person fiction opening about a 37-year-old single salaryman reflecting on his ordinary life before meeting younger coworkers who want relationship advice. It is accessible character-driven prose with mild humor."
"gaimann1","English","EN->JA","hard","fantasy","A fairy-tale-like fantasy opening about a young man pursuing his Heart's Desire. The narrator is playful and literary, so tone matters as much as literal meaning."
"gutenburggalaxy1","English","EN->JA","hard","media_theory","A media-history/theory passage about scribal culture, typography, authorship, and the public. It is abstract nonfiction with specialized conceptual vocabulary."
"hbr1","English","EN->JA","hard","business_article","A business-management article on generative AI and how office work may change. The challenge is not the topic itself but the polished magazine style and high-density workplace terminology."
"howto1","English","EN->JA","hard","technical_tutorial","A programming tutorial explaining how to reverse a binary tree in Python. It is technical instructional prose with code-adjacent concepts and algorithm language."
"howto2","English","EN->JA","hard","consumer_tutorial","A practical guide to better smartphone photography, covering both camera basics and phone-specific technique. The language is accessible but packed with instructional phrasing and hobbyist jargon."
"howtowinfriends1","English","EN->JA","hard","self_help","A classic Dale Carnegie-style anecdotal self-help passage about criticism, persuasion, and human behavior. It blends storytelling with rhetorical advice and old-fashioned voice."
"interview_1","Japanese","JA->EN","hard","music_journalism","A music-media introduction to a Wez Atlas x Ryohu live show and a related interview about career, new songs, and the two-man bill. It mixes promotional framing with artist-profile language."
"jdate1","English","EN->JA","hard","novel_excerpt","A first-person rant about sociopathy, sacrifice, and great men being willing to spend other people for a cause. The voice is aggressive, manic, and highly character-specific."
"jdate2","English","EN->JA","hard","speculative_humor","A darkly comic speculative passage built around a riddle about replacing an axe's handle and head while fighting grotesque monsters. It combines horror imagery, casual humor, and philosophical setup."
"kokushikan_1","Japanese","JA->EN","hard","classic_mystery","A dense prewar-style mystery/horror passage about an unresolved murder and ominous events at the so-called Black Death Mansion. It uses archaic kanji, long sentences, and highly literary narration."
"mcdonalds_1","Japanese","JA->EN","hard","consumer_news","A HuffPost-style article about a McDonald's Japan promotional poster going viral on social media. It combines newsroom framing, quoted reactions, and brand-specific menu language."
"movie_1","Japanese","JA->EN","easy","film_synopsis","A film listing and synopsis for the movie 'Teki,' including cast, director, and a short story overview. It is standard entertainment-guide prose with plot summary elements."
"news1","English","EN->JA","hard","culture_news","A lifestyle/news piece about Takashi Murakami and Louis Vuitton pop-up events in Harajuku. It sits between event coverage and city-guide writing, with branded cultural references."
"news2","English","EN->JA","hard","pop_culture_news","A pop-culture news post about McDonald's Japan launching another Evangelion collaboration with themed burgers and toys. It is concise entertainment reporting with brand and franchise terminology."
"news_1","Japanese","JA->EN","hard","political_news","A straight political news report on Foreign Minister Iwaya's talks with U.S. Secretary of State Rubio over tariffs and economic coordination. It is factual policy reporting with diplomatic vocabulary."
"news_2","Japanese","JA->EN","hard","anime_news","A Japanese entertainment news article announcing that the light novel 'Shibou Yuugi de Meshi wo Kuu.' will get a TV anime adaptation. It mixes franchise background, credits, and industry-style publicity language."
"news_3","Japanese","JA->EN","hard","museum_news","A museum/local-history news article about a full-scale model of a Zero observation aircraft being assembled at the Yamato Museum in Kure. It mixes cultural-institution language with wartime historical references."
"news_4","Japanese","JA->EN","hard","weather_news","A weather report warning of a prolonged cold wave, heavy snow, blizzards, and transportation disruption across Japan. It is forecast prose full of meteorological terms and region-specific risk language."
"other_1","Japanese","JA->EN","hard","light_novel","A contemporary YA/light-novel opening about an exhausted high-school girl supporting herself through part-time jobs while dealing with an abusive father and social isolation. The passage mixes colloquial interior monologue with abrupt tension at the end."
"other_2","Japanese","JA->EN","hard","light_novel","A first-person youth-fiction opening about a bullied boy on spring break, consumed by shame over his appearance and drawn toward a mysterious room of artifacts in his grandfather's house. It is emotionally raw and shifts from realism toward fantasy."
"other_3","Japanese","JA->EN","hard","fantasy","A modern dungeon-fantasy opening where an ordinary high-schooler ends up trapped in a hole facing a metal slime with a hammer in hand. The register swings between casual narration, TV-news exposition, and game-like fantasy terms."
"re_re_re_re_horror_1","Japanese","JA->EN","hard","horror","A conversational horror story about a degenerate college student hearing a friend's unsettling childhood memory about a girl named Arai-chan. It depends on spoken cadence, humor, and a slow turn toward dread."
"recipe1","English","EN->JA","hard","recipe","A competition-style BBQ pork ribs recipe that explains smoking technique, timing, and sauce preparation in detail. It is procedural cooking text with specialized barbecue vocabulary."
"recipe2","English","EN->JA","hard","recipe","A technique-focused recipe for an ideal grilled cheese sandwich, emphasizing heat control, bread, fat, and cheese behavior. The language is simple on the surface but packed with culinary nuance."
"recipe_1","Japanese","JA->EN","hard","recipe","A Japanese recipe for a crisp sweet-potato-and-cheese skillet dish finished with salt and honey. It is step-by-step cooking prose with ingredient notes and texture-focused commentary."
"recipe_2","Japanese","JA->EN","hard","recipe","A recipe for rice pudding made from leftover cold rice, with ingredient amounts and detailed preparation steps. It is practical kitchen prose with dessert terminology."
"ryokai_shinpan_1","Japanese","JA->EN","hard","folk_horror","A long monologue in rural dialect about a mysteriously crushed barn, an abandoned village festival, and gigantic body parts falling from the sky each year. It reads like oral folklore gradually turning into cosmic folk horror."
"sample_convo_1","English","EN->JA","easy","student_writing","A student blog post about the first day at a new high school, getting lost, and meeting new classmates. It is everyday school-life writing with friendly personal tone."
"sample_convo_10","English","EN->JA","easy","conversation","A customer-service return conversation about defective running shoes and the refund or exchange process. This is practical spoken-service language with short back-and-forth turns."
"sample_convo_11","English","EN->JA","easy","conversation","A phone conversation between friends about a new sci-fi movie and how it differed from expectations. It is casual spoken English with opinions, reactions, and interruption-like flow."
"sample_convo_12","English","EN->JA","easy","conversation","A group-project discussion about a presentation on microplastics and who is handling which research task. It is cooperative classroom dialogue with light technical vocabulary."
"sample_convo_13","English","EN->JA","easy","conversation","An IT help-desk exchange about a second-floor network printer showing as offline. It is straightforward troubleshooting dialogue with common office-tech phrasing."
"sample_convo_14","English","EN->JA","easy","conversation","A workplace discussion about Q3 digital campaign metrics ahead of a client meeting. It is basic marketing-office dialogue with a few business abbreviations and KPI-style terms."
"sample_convo_15","English","EN->JA","easy","conversation","A simple discussion about a vinegar-and-baking-soda chemistry experiment and the order of steps. It is educational dialogue with beginner lab language."
"sample_convo_2","English","EN->JA","easy","informational_article","A short article comparing winter festivals around the world and highlighting shared traditions. It is easy general-interest expository prose."
"sample_convo_3","English","EN->JA","easy","informational_article","A Pad Thai recipe/article that also explains historical and cultural context for the dish. It mixes basic cooking instructions with light food-history writing."
"sample_convo_4","English","EN->JA","easy","description","A descriptive piece about a renovated local park, its paths, playground, and community use. The writing is concrete, visual, and civic in tone."
"sample_convo_5","English","EN->JA","easy","email","An informal email between friends planning a weekend trip to Lake Powell. It is full of casual enthusiasm, invitations, and everyday travel details."
"sample_convo_6","English","EN->JA","easy","educational_science","A simple science explanation of how rainbows form through refraction and reflection. It is textbook-like but written for a general audience."
"sample_convo_7","English","EN->JA","easy","sports_article","A school-newspaper recap of a basketball comeback win. It uses accessible sports-report language, scores, and player-performance framing."
"sample_convo_8","English","EN->JA","easy","book_review","A young-adult book review of 'The Midnight Garden,' summarizing premise and evaluating the novel's appeal. It is clear review prose with mild literary vocabulary."
"sample_convo_9","English","EN->JA","easy","letter","A pen-pal letter comparing an Arizona desert festival with a friend's maple syrup festival. It is warm personal writing with seasonal and cultural detail."
"scientificamerican1","English","EN->JA","hard","science_journalism","A science-news article explaining an Arctic blast and extreme cold across the United States in early 2025. It combines reporting, meteorology, and explanatory journalism."
"simple_1","Japanese","JA->EN","easy","language_learning","A set of simple self-introduction examples for language learners, with names, hometowns, interests, and polite greetings. The register is basic textbook-style Japanese."
"summary_1","Japanese","JA->EN","easy","film_summary","A synopsis and thematic summary of 'Kirishima, Bukatsu Yamerutteyo,' focusing on the small shifts in several students' lives after a popular volleyball captain quits. It is compact explanatory prose rather than dialogue-heavy narrative."
"summary_2","Japanese","JA->EN","easy","film_summary","A movie synopsis for 'Ultraman Arc The Movie,' outlining the premise, returning staff, cast, and central battle. It is standard franchise-summary text with proper nouns and plot setup."
"terriblefiction1","English","EN->JA","hard","satirical_fiction","An intentionally over-the-top isekai-style opening where a gamer sees a semi-truck transform into a robot and announce his reincarnation. The challenge is preserving the deliberately bad, edgy, internet-inflected voice."
"travel_1","Japanese","JA->EN","hard","travel_poll_article","A regional feature/poll article asking which city or ward in Hyogo Prefecture people would be proud to call home, then profiling selected areas. It blends survey framing, local tourism copy, and listicle-style structure."
"trpg_1","Japanese","JA->EN","hard","memoir","A nostalgic memoir/essay about discovering gamebooks in the mid-1980s and reflecting on how early fantasy imports differed from modern Japanese isekai sensibilities. It mixes personal memory, publishing detail, and genre commentary."
"wiki_1","Japanese","JA->EN","hard","game_news","A game-news article about the PvPvE title 'Level Zero: Extraction' ending support only weeks after full release. It combines publisher statements, player reaction, and industry-context commentary."
"writing_tips_1","Japanese","JA->EN","easy","writing_advice","A practical article on how to write natural-sounding dialogue in fiction. It is instructional craft writing with examples and an encouraging blog tone."
"writing_tips_2","Japanese","JA->EN","easy","writing_advice","A companion writing-advice piece explaining what dialogue does, using Jakobson's language-function framework as an organizing device. It is more conceptual than the first article but still beginner-friendly."
