"file","status","source_family","audit_note"
"01_15078370_html.txt","pass","language_learning / self-introduction samples","Replaced the template-heavy dump with a compact three-sample self-introduction page; the text now matches the intended easy learner-style slot."
"02_1012917.txt","pass","recipe / procedural","Replaced the short tomato-and-egg recipe with a longer steak how-to that includes ingredients, ordered steps, and process commentary appropriate for the hard procedural slot."
"03_tvos.txt","pass","consumer help / official support","Clean official Apple support content about profiles and account-managed profiles on Apple TV 4K."
"04__E5_9C_A8_E7_94_B5_E8_84_91_E6_88_96-mac-_E4_B8_8A_E4_B8_8B_.txt","pass","consumer help / official support","Substantive Microsoft install and reinstall instructions; extraction is clean and on-target."
"05_cold-calling-guide.txt","pass","business advice / cold-calling guide","Matches the linked sales-guide article and provides enough procedural/business prose to use."
"06_mzc002007knmh3g_html.txt","pass","entertainment summary / replacement source","The original Tencent Video link is unusable, so this now uses a single-source Sogou TV listing for the 2023 `三体` drama with cast, staff, and a natural synopsis."
"07_c418958-32106952_html.txt","pass","literary prose / excerpt","Substantive literary excerpt from China Writer; extraction is clean."
"08_c418925-32686461_html.txt","pass","literary prose / excerpt","Substantive fiction excerpt from China Writer; extraction is clean."
"09_c418967-40115538_html.txt","pass","literary prose / excerpt","Substantive fiction excerpt from China Writer; extraction is clean."
"10_c418925-40439145_html.txt","pass","literary prose / long excerpt","The text is correct and substantive, but it is much longer than many other items because the source excerpt is long."
"11_uncategorized-298956_html.txt","pass","business advice / CRM explainer","Main article body is intact and trailing site-navigation boilerplate was removed."
"12_about.txt","pass","profile / blog-style prose","Matches the linked personal about page and reads as the intended lightweight profile text."
"13_onebook_php.txt","pass","workplace fiction / JJWXC chapter excerpt","Upgraded from a book blurb to a real chapter-1 excerpt from the same JJWXC work, decoded correctly from `gb18030`."
"14_c_html.txt","pass","hard news / trade-policy reporting","Clean Xinhua hard-news article with policy terms and named entities."
"15_c_html.txt","pass","news feature / international reporting","Clean Xinhua feature-style reporting with institutional detail and denser exposition."
"16_1039955910.txt","pass","modern fiction / game-system webnovel","Uses embedded Qidian state data with synopsis plus chapter text; this is the correct richer capture."
"17_1047229389.txt","pass","modern fiction / horror webnovel","Uses embedded Qidian state data with chapter text; this is the correct richer capture."
"18_newsDetail_forward_2488152.txt","pass","regional feature / city activity list","Main The Paper article body is intact and extraction artifacts/footer boilerplate were removed."
"19_newsDetail_forward_2752725.txt","pass","literary fiction / Dragon Raja chapter excerpt","Replaced the prior interview/profile with a cleaned user-provided chapter-1 excerpt from `龙族I：火之晨曦`; this is now the right content family for the pinned Dragon Raja slot."
"20_newsDetail_forward_32975767.txt","pass","culture feature / tech-consumer reporting","Main article body is intact and platform disclaimer/footer boilerplate were removed."
"21_BLG026-ru-he-zhuan-xie-dui-hua-bao-kuo-ge-shi-li_html.txt","pass","writing advice / replacement source","The original TwelvePoint link is broken, so this uses a replacement text-first dialogue-writing article; clean and usable for the slot."
"22_overcoming-sales-objections-40-examples-strategies-and-rebut.txt","pass","business advice / replacement source","Replaced the localized CRM-marketing copy with a native Chinese article on customer-objection handling and retail sales talk tracks."
"23_page_htm.txt","pass","writing advice / conceptual craft explainer","Replaced the damaged lecture recap with a cleaner beginner-facing writing lesson on story creation; the prose is now on-family and readable."
"24_79258.txt","pass","games news / official announcement","Clean `新月同行` update notice with release-note structure, named entities, and system/event details."
"25__E5_8D_B7007.txt","pass","classical prose / literary-historical text","Substantive classical Chinese source text appropriate for a high-difficulty literary slot."
"26__E5_A0_B1_E4_BB_BB_E5_B0_91_E5_8D_BF_E6_9B_B8.txt","pass","classical prose / literary-historical text","Substantive classical Chinese source text appropriate for a high-difficulty literary slot."
"27_hongmao_lantu_qixiazhuan.txt","pass","entertainment summary / franchise summary","Single-source series summary with proper nouns, genre framing, and a clear premise for `zh_07`."
"28_wo_yao_huahua_zhengqian.txt","pass","easy narrative / student-life prose","Concrete first-person school-life narrative with everyday vocabulary; suitable for the flexible easy reserve slot."
"29_bali_island_feature.txt","pass","news feature / tourism reporting","Xinhua feature with quotations, named entities, and straightforward newsroom framing for the missing hard news/feature slot."
"30_women_de_qingchun_ch1.txt","pass","youth fiction / campus opening","Clean chapter-1 campus-fiction excerpt with dialogue, social dynamics, and coming-of-age framing."
"31_siqinge_rile_profile.txt","pass","culture profile / music feature","Substantive music-profile prose with quotes, career retrospective, and media-style profile framing."
"32_drone_flight_guide.txt","pass","technical how-to / procedural","Dense stepwise无人机 guide with control terminology, safety constraints, and procedural precision."
"33_xue_fan_profile.txt","pass","cultural feature / hard reserve","Long Xinhua memorial-profile with cultural references, quotations, and biographical detail suitable for a hard reserve slot."
